emissivity,albedo,thermal conductivity ,density ,specific heat capacity,beaming factor,layer thickness,n_layers,solar distance,solar luminosity ,sunlight direction,timesteps per day,rotation period hours,max days,convergence target,ra degrees,dec degrees
0.6,0.6,0.6,456,,,0.1,32,,3.60E+26,"[1,0,0]",100,12,10,0.1,0,90
0.601,0.601,0.601,456.01,,,0.1,32,,3.60E+26,"[1,0,0]",100,12,10,0.1,0,90
0.602,0.602,0.602,456.02,,,0.1,32,,3.60E+26,"[1,0,0]",100,12,10,0.1,0,90
0.603,0.603,0.603,456.03,,,0.1,32,,3.60E+26,"[1,0,0]",100,12,10,0.1,0,90
0.604,0.604,0.604,456.04,,,0.1,32,,3.60E+26,"[1,0,0]",100,12,10,0.1,0,90
0.605,0.605,0.605,456.05,,,0.1,32,,3.61E+26,"[1,0,0]",100,12,10,0.1,0,90
0.606,0.606,0.606,456.06,,,0.1,32,,3.61E+26,"[1,0,0]",100,12,10,0.1,0,90
0.607,0.607,0.607,456.07,,,0.1,32,,3.61E+26,"[1,0,0]",100,12,10,0.1,0,90
0.608,0.608,0.608,456.08,,,0.1,32,,3.61E+26,"[1,0,0]",100,12,10,0.1,0,90
0.609,0.609,0.609,456.09,,,0.1,32,,3.61E+26,"[1,0,0]",100,12,10,0.1,0,90
0.61,0.61,0.61,456.1,,,0.1,32,,3.61E+26,"[1,0,0]",100,12,10,0.1,0,90
0.611,0.611,0.611,456.11,,,0.1,32,,3.61E+26,"[1,0,0]",100,12,10,0.1,0,90
0.612,0.612,0.612,456.12,,,0.1,32,,3.61E+26,"[1,0,0]",100,12,10,0.1,0,90
0.613,0.613,0.613,456.13,,,0.1,32,,3.61E+26,"[1,0,0]",100,12,10,0.1,0,90
0.614,0.614,0.614,456.14,,,0.1,32,,3.61E+26,"[1,0,0]",100,12,10,0.1,0,90
0.615,0.615,0.615,456.15,,,0.1,32,,3.62E+26,"[1,0,0]",100,12,10,0.1,0,90
0.616,0.616,0.616,456.16,,,0.1,32,,3.62E+26,"[1,0,0]",100,12,10,0.1,0,90
0.617,0.617,0.617,456.17,,,0.1,32,,3.62E+26,"[1,0,0]",100,12,10,0.1,0,90
0.618,0.618,0.618,456.18,,,0.1,32,,3.62E+26,"[1,0,0]",100,12,10,0.1,0,90
0.619,0.619,0.619,456.19,,,0.1,32,,3.62E+26,"[1,0,0]",100,12,10,0.1,0,90
0.62,0.62,0.62,456.2,,,0.1,32,,3.62E+26,"[1,0,0]",100,12,10,0.1,0,90
0.621,0.621,0.621,456.21,,,0.1,32,,3.62E+26,"[1,0,0]",100,12,10,0.1,0,90
0.622,0.622,0.622,456.22,,,0.1,32,,3.62E+26,"[1,0,0]",100,12,10,0.1,0,90
0.623,0.623,0.623,456.23,,,0.1,32,,3.62E+26,"[1,0,0]",100,12,10,0.1,0,90
0.624,0.624,0.624,456.24,,,0.1,32,,3.62E+26,"[1,0,0]",100,12,10,0.1,0,90
0.625,0.625,0.625,456.25,,,0.1,32,,3.63E+26,"[1,0,0]",100,12,10,0.1,0,90
0.626,0.626,0.626,456.26,,,0.1,32,,3.63E+26,"[1,0,0]",100,12,10,0.1,0,90
0.627,0.627,0.627,456.27,,,0.1,32,,3.63E+26,"[1,0,0]",100,12,10,0.1,0,90
0.628,0.628,0.628,456.28,,,0.1,32,,3.63E+26,"[1,0,0]",100,12,10,0.1,0,90
0.629,0.629,0.629,456.29,,,0.1,32,,3.63E+26,"[1,0,0]",100,12,10,0.1,0,90
0.63,0.63,0.63,456.3,,,0.1,32,,3.63E+26,"[1,0,0]",100,12,10,0.1,0,90
0.631,0.631,0.631,456.31,,,0.1,32,,3.63E+26,"[1,0,0]",100,12,10,0.1,0,90
0.632,0.632,0.632,456.32,,,0.1,32,,3.63E+26,"[1,0,0]",100,12,10,0.1,0,90
0.633,0.633,0.633,456.33,,,0.1,32,,3.63E+26,"[1,0,0]",100,12,10,0.1,0,90
0.634,0.634,0.634,456.34,,,0.1,32,,3.63E+26,"[1,0,0]",100,12,10,0.1,0,90
0.635,0.635,0.635,456.35,,,0.1,32,,3.64E+26,"[1,0,0]",100,12,10,0.1,0,90
0.636,0.636,0.636,456.36,,,0.1,32,,3.64E+26,"[1,0,0]",100,12,10,0.1,0,90
0.637,0.637,0.637,456.37,,,0.1,32,,3.64E+26,"[1,0,0]",100,12,10,0.1,0,90
0.638,0.638,0.638,456.38,,,0.1,32,,3.64E+26,"[1,0,0]",100,12,10,0.1,0,90
0.639,0.639,0.639,456.39,,,0.1,32,,3.64E+26,"[1,0,0]",100,12,10,0.1,0,90
0.64,0.64,0.64,456.4,,,0.1,32,,3.64E+26,"[1,0,0]",100,12,10,0.1,0,90
0.641,0.641,0.641,456.41,,,0.1,32,,3.64E+26,"[1,0,0]",100,12,10,0.1,0,90
0.642,0.642,0.642,456.42,,,0.1,32,,3.64E+26,"[1,0,0]",100,12,10,0.1,0,90
0.643,0.643,0.643,456.43,,,0.1,32,,3.64E+26,"[1,0,0]",100,12,10,0.1,0,90
0.644,0.644,0.644,456.44,,,0.1,32,,3.64E+26,"[1,0,0]",100,12,10,0.1,0,90
0.645,0.645,0.645,456.45,,,0.1,32,,3.65E+26,"[1,0,0]",100,12,10,0.1,0,90
0.646,0.646,0.646,456.46,,,0.1,32,,3.65E+26,"[1,0,0]",100,12,10,0.1,0,90
0.647,0.647,0.647,456.47,,,0.1,32,,3.65E+26,"[1,0,0]",100,12,10,0.1,0,90
0.648,0.648,0.648,456.48,,,0.1,32,,3.65E+26,"[1,0,0]",100,12,10,0.1,0,90
0.649,0.649,0.649,456.49,,,0.1,32,,3.65E+26,"[1,0,0]",100,12,10,0.1,0,90
0.65,0.65,0.65,456.5,,,0.1,32,,3.65E+26,"[1,0,0]",100,12,10,0.1,0,90
0.651,0.651,0.651,456.51,,,0.1,32,,3.65E+26,"[1,0,0]",100,12,10,0.1,0,90
0.652,0.652,0.652,456.52,,,0.1,32,,3.65E+26,"[1,0,0]",100,12,10,0.1,0,90
0.653,0.653,0.653,456.53,,,0.1,32,,3.65E+26,"[1,0,0]",100,12,10,0.1,0,90
0.654,0.654,0.654,456.54,,,0.1,32,,3.65E+26,"[1,0,0]",100,12,10,0.1,0,90
0.655,0.655,0.655,456.55,,,0.1,32,,3.66E+26,"[1,0,0]",100,12,10,0.1,0,90
0.656,0.656,0.656,456.56,,,0.1,32,,3.66E+26,"[1,0,0]",100,12,10,0.1,0,90
0.657,0.657,0.657,456.57,,,0.1,32,,3.66E+26,"[1,0,0]",100,12,10,0.1,0,90
0.658,0.658,0.658,456.58,,,0.1,32,,3.66E+26,"[1,0,0]",100,12,10,0.1,0,90
0.659,0.659,0.659,456.59,,,0.1,32,,3.66E+26,"[1,0,0]",100,12,10,0.1,0,90
0.66,0.66,0.66,456.6,,,0.1,32,,3.66E+26,"[1,0,0]",100,12,10,0.1,0,90
0.661,0.661,0.661,456.61,,,0.1,32,,3.66E+26,"[1,0,0]",100,12,10,0.1,0,90
0.662,0.662,0.662,456.62,,,0.1,32,,3.66E+26,"[1,0,0]",100,12,10,0.1,0,90
0.663,0.663,0.663,456.63,,,0.1,32,,3.66E+26,"[1,0,0]",100,12,10,0.1,0,90
0.664,0.664,0.664,456.64,,,0.1,32,,3.66E+26,"[1,0,0]",100,12,10,0.1,0,90
0.665,0.665,0.665,456.65,,,0.1,32,,3.67E+26,"[1,0,0]",100,12,10,0.1,0,90
0.666,0.666,0.666,456.66,,,0.1,32,,3.67E+26,"[1,0,0]",100,12,10,0.1,0,90
0.667,0.667,0.667,456.67,,,0.1,32,,3.67E+26,"[1,0,0]",100,12,10,0.1,0,90
0.668,0.668,0.668,456.68,,,0.1,32,,3.67E+26,"[1,0,0]",100,12,10,0.1,0,90
0.669,0.669,0.669,456.69,,,0.1,32,,3.67E+26,"[1,0,0]",100,12,10,0.1,0,90
0.67,0.67,0.67,456.7,,,0.1,32,,3.67E+26,"[1,0,0]",100,12,10,0.1,0,90
0.671,0.671,0.671,456.71,,,0.1,32,,3.67E+26,"[1,0,0]",100,12,10,0.1,0,90
0.672,0.672,0.672,456.72,,,0.1,32,,3.67E+26,"[1,0,0]",100,12,10,0.1,0,90
0.673,0.673,0.673,456.73,,,0.1,32,,3.67E+26,"[1,0,0]",100,12,10,0.1,0,90
0.674,0.674,0.674,456.74,,,0.1,32,,3.67E+26,"[1,0,0]",100,12,10,0.1,0,90
0.675,0.675,0.675,456.75,,,0.1,32,,3.68E+26,"[1,0,0]",100,12,10,0.1,0,90
0.676,0.676,0.676,456.76,,,0.1,32,,3.68E+26,"[1,0,0]",100,12,10,0.1,0,90
0.677,0.677,0.677,456.77,,,0.1,32,,3.68E+26,"[1,0,0]",100,12,10,0.1,0,90
0.678,0.678,0.678,456.78,,,0.1,32,,3.68E+26,"[1,0,0]",100,12,10,0.1,0,90
0.679,0.679,0.679,456.79,,,0.1,32,,3.68E+26,"[1,0,0]",100,12,10,0.1,0,90
0.68,0.68,0.68,456.8,,,0.1,32,,3.68E+26,"[1,0,0]",100,12,10,0.1,0,90
0.681,0.681,0.681,456.81,,,0.1,32,,3.68E+26,"[1,0,0]",100,12,10,0.1,0,90
0.682,0.682,0.682,456.82,,,0.1,32,,3.68E+26,"[1,0,0]",100,12,10,0.1,0,90
0.683,0.683,0.683,456.83,,,0.1,32,,3.68E+26,"[1,0,0]",100,12,10,0.1,0,90
0.684,0.684,0.684,456.84,,,0.1,32,,3.68E+26,"[1,0,0]",100,12,10,0.1,0,90
0.685,0.685,0.685,456.85,,,0.1,32,,3.69E+26,"[1,0,0]",100,12,10,0.1,0,90
0.686,0.686,0.686,456.86,,,0.1,32,,3.69E+26,"[1,0,0]",100,12,10,0.1,0,90
0.687,0.687,0.687,456.87,,,0.1,32,,3.69E+26,"[1,0,0]",100,12,10,0.1,0,90
0.688,0.688,0.688,456.88,,,0.1,32,,3.69E+26,"[1,0,0]",100,12,10,0.1,0,90
0.689,0.689,0.689,456.89,,,0.1,32,,3.69E+26,"[1,0,0]",100,12,10,0.1,0,90
0.69,0.69,0.69,456.9,,,0.1,32,,3.69E+26,"[1,0,0]",100,12,10,0.1,0,90
0.691,0.691,0.691,456.91,,,0.1,32,,3.69E+26,"[1,0,0]",100,12,10,0.1,0,90
0.692,0.692,0.692,456.92,,,0.1,32,,3.69E+26,"[1,0,0]",100,12,10,0.1,0,90
0.693,0.693,0.693,456.93,,,0.1,32,,3.69E+26,"[1,0,0]",100,12,10,0.1,0,90
0.694,0.694,0.694,456.94,,,0.1,32,,3.69E+26,"[1,0,0]",100,12,10,0.1,0,90
0.695,0.695,0.695,456.95,,,0.1,32,,3.70E+26,"[1,0,0]",100,12,10,0.1,0,90
0.696,0.696,0.696,456.96,,,0.1,32,,3.70E+26,"[1,0,0]",100,12,10,0.1,0,90
0.697,0.697,0.697,456.97,,,0.1,32,,3.70E+26,"[1,0,0]",100,12,10,0.1,0,90
0.698,0.698,0.698,456.98,,,0.1,32,,3.70E+26,"[1,0,0]",100,12,10,0.1,0,90
0.699,0.699,0.699,456.99,,,0.1,32,,3.70E+26,"[1,0,0]",100,12,10,0.1,0,90
0.7,0.7,0.7,457,,,0.1,32,,3.70E+26,"[1,0,0]",100,12,10,0.1,0,90
0.701,0.701,0.701,457.01,,,0.1,32,,3.70E+26,"[1,0,0]",100,12,10,0.1,0,90
0.702,0.702,0.702,457.02,,,0.1,32,,3.70E+26,"[1,0,0]",100,12,10,0.1,0,90
0.703,0.703,0.703,457.03,,,0.1,32,,3.70E+26,"[1,0,0]",100,12,10,0.1,0,90
0.704,0.704,0.704,457.04,,,0.1,32,,3.70E+26,"[1,0,0]",100,12,10,0.1,0,90
0.705,0.705,0.705,457.05,,,0.1,32,,3.71E+26,"[1,0,0]",100,12,10,0.1,0,90
0.706,0.706,0.706,457.06,,,0.1,32,,3.71E+26,"[1,0,0]",100,12,10,0.1,0,90
0.707,0.707,0.707,457.07,,,0.1,32,,3.71E+26,"[1,0,0]",100,12,10,0.1,0,90
0.708,0.708,0.708,457.08,,,0.1,32,,3.71E+26,"[1,0,0]",100,12,10,0.1,0,90
0.709,0.709,0.709,457.09,,,0.1,32,,3.71E+26,"[1,0,0]",100,12,10,0.1,0,90
0.71,0.71,0.71,457.1,,,0.1,32,,3.71E+26,"[1,0,0]",100,12,10,0.1,0,90
0.711,0.711,0.711,457.11,,,0.1,32,,3.71E+26,"[1,0,0]",100,12,10,0.1,0,90
0.712,0.712,0.712,457.12,,,0.1,32,,3.71E+26,"[1,0,0]",100,12,10,0.1,0,90
0.713,0.713,0.713,457.13,,,0.1,32,,3.71E+26,"[1,0,0]",100,12,10,0.1,0,90
0.714,0.714,0.714,457.14,,,0.1,32,,3.71E+26,"[1,0,0]",100,12,10,0.1,0,90
0.715,0.715,0.715,457.15,,,0.1,32,,3.72E+26,"[1,0,0]",100,12,10,0.1,0,90
0.716,0.716,0.716,457.16,,,0.1,32,,3.72E+26,"[1,0,0]",100,12,10,0.1,0,90
0.717,0.717,0.717,457.17,,,0.1,32,,3.72E+26,"[1,0,0]",100,12,10,0.1,0,90
0.718,0.718,0.718,457.18,,,0.1,32,,3.72E+26,"[1,0,0]",100,12,10,0.1,0,90
0.719,0.719,0.719,457.19,,,0.1,32,,3.72E+26,"[1,0,0]",100,12,10,0.1,0,90
0.72,0.72,0.72,457.2,,,0.1,32,,3.72E+26,"[1,0,0]",100,12,10,0.1,0,90
0.721,0.721,0.721,457.21,,,0.1,32,,3.72E+26,"[1,0,0]",100,12,10,0.1,0,90
0.722,0.722,0.722,457.22,,,0.1,32,,3.72E+26,"[1,0,0]",100,12,10,0.1,0,90
0.723,0.723,0.723,457.23,,,0.1,32,,3.72E+26,"[1,0,0]",100,12,10,0.1,0,90
0.724,0.724,0.724,457.24,,,0.1,32,,3.72E+26,"[1,0,0]",100,12,10,0.1,0,90
0.725,0.725,0.725,457.25,,,0.1,32,,3.73E+26,"[1,0,0]",100,12,10,0.1,0,90
0.726,0.726,0.726,457.26,,,0.1,32,,3.73E+26,"[1,0,0]",100,12,10,0.1,0,90
0.727,0.727,0.727,457.27,,,0.1,32,,3.73E+26,"[1,0,0]",100,12,10,0.1,0,90
0.728,0.728,0.728,457.28,,,0.1,32,,3.73E+26,"[1,0,0]",100,12,10,0.1,0,90
0.729,0.729,0.729,457.29,,,0.1,32,,3.73E+26,"[1,0,0]",100,12,10,0.1,0,90
0.73,0.73,0.73,457.3,,,0.1,32,,3.73E+26,"[1,0,0]",100,12,10,0.1,0,90
0.731,0.731,0.731,457.31,,,0.1,32,,3.73E+26,"[1,0,0]",100,12,10,0.1,0,90
0.732,0.732,0.732,457.32,,,0.1,32,,3.73E+26,"[1,0,0]",100,12,10,0.1,0,90
0.733,0.733,0.733,457.33,,,0.1,32,,3.73E+26,"[1,0,0]",100,12,10,0.1,0,90
0.734,0.734,0.734,457.34,,,0.1,32,,3.73E+26,"[1,0,0]",100,12,10,0.1,0,90
0.735,0.735,0.735,457.35,,,0.1,32,,3.74E+26,"[1,0,0]",100,12,10,0.1,0,90
0.736,0.736,0.736,457.36,,,0.1,32,,3.74E+26,"[1,0,0]",100,12,10,0.1,0,90
0.737,0.737,0.737,457.37,,,0.1,32,,3.74E+26,"[1,0,0]",100,12,10,0.1,0,90
0.738,0.738,0.738,457.38,,,0.1,32,,3.74E+26,"[1,0,0]",100,12,10,0.1,0,90
0.739,0.739,0.739,457.39,,,0.1,32,,3.74E+26,"[1,0,0]",100,12,10,0.1,0,90
0.74,0.74,0.74,457.4,,,0.1,32,,3.74E+26,"[1,0,0]",100,12,10,0.1,0,90
0.741,0.741,0.741,457.41,,,0.1,32,,3.74E+26,"[1,0,0]",100,12,10,0.1,0,90
0.742,0.742,0.742,457.42,,,0.1,32,,3.74E+26,"[1,0,0]",100,12,10,0.1,0,90
0.743,0.743,0.743,457.43,,,0.1,32,,3.74E+26,"[1,0,0]",100,12,10,0.1,0,90
0.744,0.744,0.744,457.44,,,0.1,32,,3.74E+26,"[1,0,0]",100,12,10,0.1,0,90
0.745,0.745,0.745,457.45,,,0.1,32,,3.75E+26,"[1,0,0]",100,12,10,0.1,0,90
0.746,0.746,0.746,457.46,,,0.1,32,,3.75E+26,"[1,0,0]",100,12,10,0.1,0,90
0.747,0.747,0.747,457.47,,,0.1,32,,3.75E+26,"[1,0,0]",100,12,10,0.1,0,90
0.748,0.748,0.748,457.48,,,0.1,32,,3.75E+26,"[1,0,0]",100,12,10,0.1,0,90
0.749,0.749,0.749,457.49,,,0.1,32,,3.75E+26,"[1,0,0]",100,12,10,0.1,0,90
0.75,0.75,0.75,457.5,,,0.1,32,,3.75E+26,"[1,0,0]",100,12,10,0.1,0,90
0.751,0.751,0.751,457.51,,,0.1,32,,3.75E+26,"[1,0,0]",100,12,10,0.1,0,90
0.752,0.752,0.752,457.52,,,0.1,32,,3.75E+26,"[1,0,0]",100,12,10,0.1,0,90
0.753,0.753,0.753,457.53,,,0.1,32,,3.75E+26,"[1,0,0]",100,12,10,0.1,0,90
0.754,0.754,0.754,457.54,,,0.1,32,,3.75E+26,"[1,0,0]",100,12,10,0.1,0,90
0.755,0.755,0.755,457.55,,,0.1,32,,3.76E+26,"[1,0,0]",100,12,10,0.1,0,90
0.756,0.756,0.756,457.56,,,0.1,32,,3.76E+26,"[1,0,0]",100,12,10,0.1,0,90
0.757,0.757,0.757,457.57,,,0.1,32,,3.76E+26,"[1,0,0]",100,12,10,0.1,0,90
0.758,0.758,0.758,457.58,,,0.1,32,,3.76E+26,"[1,0,0]",100,12,10,0.1,0,90
0.759,0.759,0.759,457.59,,,0.1,32,,3.76E+26,"[1,0,0]",100,12,10,0.1,0,90
0.76,0.76,0.76,457.6,,,0.1,32,,3.76E+26,"[1,0,0]",100,12,10,0.1,0,90
0.761,0.761,0.761,457.61,,,0.1,32,,3.76E+26,"[1,0,0]",100,12,10,0.1,0,90
0.762,0.762,0.762,457.62,,,0.1,32,,3.76E+26,"[1,0,0]",100,12,10,0.1,0,90
0.763,0.763,0.763,457.63,,,0.1,32,,3.76E+26,"[1,0,0]",100,12,10,0.1,0,90
0.764,0.764,0.764,457.64,,,0.1,32,,3.76E+26,"[1,0,0]",100,12,10,0.1,0,90
0.765,0.765,0.765,457.65,,,0.1,32,,3.77E+26,"[1,0,0]",100,12,10,0.1,0,90
0.766,0.766,0.766,457.66,,,0.1,32,,3.77E+26,"[1,0,0]",100,12,10,0.1,0,90
0.767,0.767,0.767,457.67,,,0.1,32,,3.77E+26,"[1,0,0]",100,12,10,0.1,0,90
0.768,0.768,0.768,457.68,,,0.1,32,,3.77E+26,"[1,0,0]",100,12,10,0.1,0,90
0.769,0.769,0.769,457.69,,,0.1,32,,3.77E+26,"[1,0,0]",100,12,10,0.1,0,90
0.77,0.77,0.77,457.7,,,0.1,32,,3.77E+26,"[1,0,0]",100,12,10,0.1,0,90
0.771,0.771,0.771,457.71,,,0.1,32,,3.77E+26,"[1,0,0]",100,12,10,0.1,0,90
0.772,0.772,0.772,457.72,,,0.1,32,,3.77E+26,"[1,0,0]",100,12,10,0.1,0,90
0.773,0.773,0.773,457.73,,,0.1,32,,3.77E+26,"[1,0,0]",100,12,10,0.1,0,90
0.774,0.774,0.774,457.74,,,0.1,32,,3.77E+26,"[1,0,0]",100,12,10,0.1,0,90
0.775,0.775,0.775,457.75,,,0.1,32,,3.78E+26,"[1,0,0]",100,12,10,0.1,0,90
0.776,0.776,0.776,457.76,,,0.1,32,,3.78E+26,"[1,0,0]",100,12,10,0.1,0,90
0.777,0.777,0.777,457.77,,,0.1,32,,3.78E+26,"[1,0,0]",100,12,10,0.1,0,90
0.778,0.778,0.778,457.78,,,0.1,32,,3.78E+26,"[1,0,0]",100,12,10,0.1,0,90
0.779,0.779,0.779,457.79,,,0.1,32,,3.78E+26,"[1,0,0]",100,12,10,0.1,0,90
0.78,0.78,0.78,457.8,,,0.1,32,,3.78E+26,"[1,0,0]",100,12,10,0.1,0,90
0.781,0.781,0.781,457.81,,,0.1,32,,3.78E+26,"[1,0,0]",100,12,10,0.1,0,90
0.782,0.782,0.782,457.82,,,0.1,32,,3.78E+26,"[1,0,0]",100,12,10,0.1,0,90
0.783,0.783,0.783,457.83,,,0.1,32,,3.78E+26,"[1,0,0]",100,12,10,0.1,0,90
0.784,0.784,0.784,457.84,,,0.1,32,,3.78E+26,"[1,0,0]",100,12,10,0.1,0,90
0.785,0.785,0.785,457.85,,,0.1,32,,3.79E+26,"[1,0,0]",100,12,10,0.1,0,90
0.786,0.786,0.786,457.86,,,0.1,32,,3.79E+26,"[1,0,0]",100,12,10,0.1,0,90
0.787,0.787,0.787,457.87,,,0.1,32,,3.79E+26,"[1,0,0]",100,12,10,0.1,0,90
0.788,0.788,0.788,457.88,,,0.1,32,,3.79E+26,"[1,0,0]",100,12,10,0.1,0,90
0.789,0.789,0.789,457.89,,,0.1,32,,3.79E+26,"[1,0,0]",100,12,10,0.1,0,90
0.79,0.79,0.79,457.9,,,0.1,32,,3.79E+26,"[1,0,0]",100,12,10,0.1,0,90
0.791,0.791,0.791,457.91,,,0.1,32,,3.79E+26,"[1,0,0]",100,12,10,0.1,0,90
0.792,0.792,0.792,457.92,,,0.1,32,,3.79E+26,"[1,0,0]",100,12,10,0.1,0,90
0.793,0.793,0.793,457.93,,,0.1,32,,3.79E+26,"[1,0,0]",100,12,10,0.1,0,90
0.794,0.794,0.794,457.94,,,0.1,32,,3.79E+26,"[1,0,0]",100,12,10,0.1,0,90
0.795,0.795,0.795,457.95,,,0.1,32,,3.80E+26,"[1,0,0]",100,12,10,0.1,0,90
0.796,0.796,0.796,457.96,,,0.1,32,,3.80E+26,"[1,0,0]",100,12,10,0.1,0,90
0.797,0.797,0.797,457.97,,,0.1,32,,3.80E+26,"[1,0,0]",100,12,10,0.1,0,90
0.798,0.798,0.798,457.98,,,0.1,32,,3.80E+26,"[1,0,0]",100,12,10,0.1,0,90
0.799,0.799,0.799,457.99,,,0.1,32,,3.80E+26,"[1,0,0]",100,12,10,0.1,0,90
0.8,0.8,0.8,458,,,0.1,32,,3.80E+26,"[1,0,0]",100,12,10,0.1,0,90
0.801,0.801,0.801,458.01,,,0.1,32,,3.80E+26,"[1,0,0]",100,12,10,0.1,0,90
0.802,0.802,0.802,458.02,,,0.1,32,,3.80E+26,"[1,0,0]",100,12,10,0.1,0,90
0.803,0.803,0.803,458.03,,,0.1,32,,3.80E+26,"[1,0,0]",100,12,10,0.1,0,90
0.804,0.804,0.804,458.04,,,0.1,32,,3.80E+26,"[1,0,0]",100,12,10,0.1,0,90
0.805,0.805,0.805,458.05,,,0.1,32,,3.81E+26,"[1,0,0]",100,12,10,0.1,0,90
0.806,0.806,0.806,458.06,,,0.1,32,,3.81E+26,"[1,0,0]",100,12,10,0.1,0,90
0.807,0.807,0.807,458.07,,,0.1,32,,3.81E+26,"[1,0,0]",100,12,10,0.1,0,90
0.808,0.808,0.808,458.08,,,0.1,32,,3.81E+26,"[1,0,0]",100,12,10,0.1,0,90
0.809,0.809,0.809,458.09,,,0.1,32,,3.81E+26,"[1,0,0]",100,12,10,0.1,0,90
0.81,0.81,0.81,458.1,,,0.1,32,,3.81E+26,"[1,0,0]",100,12,10,0.1,0,90
0.811,0.811,0.811,458.11,,,0.1,32,,3.81E+26,"[1,0,0]",100,12,10,0.1,0,90
0.812,0.812,0.812,458.12,,,0.1,32,,3.81E+26,"[1,0,0]",100,12,10,0.1,0,90
0.813,0.813,0.813,458.13,,,0.1,32,,3.81E+26,"[1,0,0]",100,12,10,0.1,0,90
0.814,0.814,0.814,458.14,,,0.1,32,,3.81E+26,"[1,0,0]",100,12,10,0.1,0,90
0.815,0.815,0.815,458.15,,,0.1,32,,3.82E+26,"[1,0,0]",100,12,10,0.1,0,90
0.816,0.816,0.816,458.16,,,0.1,32,,3.82E+26,"[1,0,0]",100,12,10,0.1,0,90
0.817,0.817,0.817,458.17,,,0.1,32,,3.82E+26,"[1,0,0]",100,12,10,0.1,0,90
0.818,0.818,0.818,458.18,,,0.1,32,,3.82E+26,"[1,0,0]",100,12,10,0.1,0,90
0.819,0.819,0.819,458.19,,,0.1,32,,3.82E+26,"[1,0,0]",100,12,10,0.1,0,90
0.82,0.82,0.82,458.2,,,0.1,32,,3.82E+26,"[1,0,0]",100,12,10,0.1,0,90
0.821,0.821,0.821,458.21,,,0.1,32,,3.82E+26,"[1,0,0]",100,12,10,0.1,0,90
0.822,0.822,0.822,458.22,,,0.1,32,,3.82E+26,"[1,0,0]",100,12,10,0.1,0,90
0.823,0.823,0.823,458.23,,,0.1,32,,3.82E+26,"[1,0,0]",100,12,10,0.1,0,90
0.824,0.824,0.824,458.24,,,0.1,32,,3.82E+26,"[1,0,0]",100,12,10,0.1,0,90
0.825,0.825,0.825,458.25,,,0.1,32,,3.83E+26,"[1,0,0]",100,12,10,0.1,0,90
0.826,0.826,0.826,458.26,,,0.1,32,,3.83E+26,"[1,0,0]",100,12,10,0.1,0,90
0.827,0.827,0.827,458.27,,,0.1,32,,3.83E+26,"[1,0,0]",100,12,10,0.1,0,90
0.828,0.828,0.828,458.28,,,0.1,32,,3.83E+26,"[1,0,0]",100,12,10,0.1,0,90
0.829,0.829,0.829,458.29,,,0.1,32,,3.83E+26,"[1,0,0]",100,12,10,0.1,0,90
0.83,0.83,0.83,458.3,,,0.1,32,,3.83E+26,"[1,0,0]",100,12,10,0.1,0,90
0.831,0.831,0.831,458.31,,,0.1,32,,3.83E+26,"[1,0,0]",100,12,10,0.1,0,90
0.832,0.832,0.832,458.32,,,0.1,32,,3.83E+26,"[1,0,0]",100,12,10,0.1,0,90
0.833,0.833,0.833,458.33,,,0.1,32,,3.83E+26,"[1,0,0]",100,12,10,0.1,0,90
0.834,0.834,0.834,458.34,,,0.1,32,,3.83E+26,"[1,0,0]",100,12,10,0.1,0,90
0.835,0.835,0.835,458.35,,,0.1,32,,3.84E+26,"[1,0,0]",100,12,10,0.1,0,90
0.836,0.836,0.836,458.36,,,0.1,32,,3.84E+26,"[1,0,0]",100,12,10,0.1,0,90
0.837,0.837,0.837,458.37,,,0.1,32,,3.84E+26,"[1,0,0]",100,12,10,0.1,0,90
0.838,0.838,0.838,458.38,,,0.1,32,,3.84E+26,"[1,0,0]",100,12,10,0.1,0,90
0.839,0.839,0.839,458.39,,,0.1,32,,3.84E+26,"[1,0,0]",100,12,10,0.1,0,90
0.84,0.84,0.84,458.4,,,0.1,32,,3.84E+26,"[1,0,0]",100,12,10,0.1,0,90
0.841,0.841,0.841,458.41,,,0.1,32,,3.84E+26,"[1,0,0]",100,12,10,0.1,0,90
0.842,0.842,0.842,458.42,,,0.1,32,,3.84E+26,"[1,0,0]",100,12,10,0.1,0,90
0.843,0.843,0.843,458.43,,,0.1,32,,3.84E+26,"[1,0,0]",100,12,10,0.1,0,90
0.844,0.844,0.844,458.44,,,0.1,32,,3.84E+26,"[1,0,0]",100,12,10,0.1,0,90
0.845,0.845,0.845,458.45,,,0.1,32,,3.85E+26,"[1,0,0]",100,12,10,0.1,0,90
0.846,0.846,0.846,458.46,,,0.1,32,,3.85E+26,"[1,0,0]",100,12,10,0.1,0,90
0.847,0.847,0.847,458.47,,,0.1,32,,3.85E+26,"[1,0,0]",100,12,10,0.1,0,90
0.848,0.848,0.848,458.48,,,0.1,32,,3.85E+26,"[1,0,0]",100,12,10,0.1,0,90
0.849,0.849,0.849,458.49,,,0.1,32,,3.85E+26,"[1,0,0]",100,12,10,0.1,0,90
0.85,0.85,0.85,458.5,,,0.1,32,,3.85E+26,"[1,0,0]",100,12,10,0.1,0,90
0.851,0.851,0.851,458.51,,,0.1,32,,3.85E+26,"[1,0,0]",100,12,10,0.1,0,90
